ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity
9780262038034,The Deep Learning Revolution,,Terrence J. Sejnowski,MIT Press,http://books.google.com/books/content?id=9xZxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Artificial Intelligence ,2018,en,SE92,1
,Beginner's Guide to Exploitation on ARM Volume I,,Billy Ellis,,https://pbs.twimg.com/media/DQOD40hWAAAvN0A.jpg,SE,Hardware,2017,en,SE93,1
,Beginner's Guide to Exploitation on ARM Volume II,,Billy Ellis,,https://zygosec.com/img/book2.png,SE,Hardware,2018,en,SE94,1
9780134757599,Refactoring,Improving the Design of Existing Code,"Martin Fowler, Kent Beck",Addison-Wesley Professional,https://m.media-amazon.com/images/I/41LBzpPXCOL._AC_UL872_FMwebp_QL65_.jpg,SE,Software Engineering,2019,en,SE95,1
9781292153964,Artificial Intelligence - A Modern Approach,,"Stuart Russell, Peter Norvig",Pearson Education,http://books.google.com/books/content?id=XS9CjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,Artificial Intelligence ,2016,en,SE96,1
9780470519462,An Intruduction to MultiAgent Systems,,Michael Wooldridge,John Wiley & Sons,"https://images-na.ssl-images-amazon.com/images/I/518QgDaMa3L._SX258_BO1,204,203,200_.jpg",SE,Multi Agent Systems,2009,en,SE97,1
9789811110689,Numsense! Data Science for the Layman,(no math added),"Annalyn Ng, Kenneth Soo","Annalyn Ng, Kenneth Soo",https://m.media-amazon.com/images/I/41w+YS0fjPL._AC_UY436_FMwebp_QL65_.jpg,SE,Data Science,2017,en,SE98,2
9780134456478,"Practical, Object-Oriented Design",An Agile Primer Using Ruby,Sandi Metz,Addison-Wesley Professional,https://m.media-amazon.com/images/I/61qpmhZRxGL._AC_UY436_FMwebp_QL65_.jpg,SE,Programming\Object-Oriented,2019,en,SE99,1
9783897215931,Online-Shops mit Magento,,"Roman Zenner, Rico Neitzel",O'Reilly Verlag,https://m.media-amazon.com/images/I/91sADRec6lL._AC_UL640_FMwebp_QL65_.jpg,SE,online shops,2011,de,SE100,1
9783836245814,Java,Der Grundkurs,Michel Kofler,Rheinwerk Verlag,https://m.media-amazon.com/images/I/714mPU-o5wL._AC_UY436_FMwebp_QL65_.jpg,SE,Java,2018,de,SE101,1
3772371744,Das kleine Werkbuch Elektronik,,Dieter Nührmann,Franzis-Verlag,https://m.media-amazon.com/images/I/51DTN1YD04L._AC_UY436_FMwebp_QL65_.jpg,SE,"Datensammlungen, Bauelemente, Grundschaltungen",1994,de,SE102,1
9781400082469,Dreaming in Code,,Scott Rosenberg,Crown Publishers,https://m.media-amazon.com/images/I/81QqfVpuxiL._AC_UY436_FMwebp_QL65_.jpg,SE,"Information Age, Human Mind",2007,en,SE103,1
9780999282908,Algorithms Illuminated,Part 1: The Basics,Tim Roughgarden,Soundslikeyourself Publishing LLC,https://m.media-amazon.com/images/I/71hVAw0GcIL._AC_UY436_FMwebp_QL65_.jpg,SE,Algorithms,2017,en,SE104,1
9780999282922,Algorithms Illuminated,Part 2: Graph Algorithms and Data Structures,Tim Roughgarden,Soundslikeyourself Publishing LLC,https://m.media-amazon.com/images/I/71x73K6N3RL._AC_UY436_FMwebp_QL65_.jpg,SE,"Graph Algorithms, Data Structures",2018,en,SE105,1
9780596155407,Being Geek,The Software Developer's Career Handbook,Michael Lopp,O'Reilly Media Inc,https://m.media-amazon.com/images/I/71IunXDs77L._AC_UY436_FMwebp_QL65_.jpg,SE,Software Development,2010,en,SE106,1
9781949815009,How Javascript Works,,Douglas Crockford,Virgule Solidus,https://m.media-amazon.com/images/I/71K5DR1-xeL._AC_UY436_FMwebp_QL65_.jpg,SE,Javascript,2018,en,SE107,1
321225317,Java ,Software Structures,Lewis & Chase,Argosy Publishing,https://pictures.abebooks.com/isbn/9780321225313-uk.jpg,SE,Designing and using Data Structures,2004,en,SE108,1
9780134997834,A Tour of C++,,Bjarne Stroustrup,Addison-Wesley,"https://images-na.ssl-images-amazon.com/images/I/41C9TtXr0hL._SX398_BO1,204,203,200_.jpg",SE,C++,2019,en,SE109,1
9781617294693,C++,Concurrency in action,Anthony Williams,Manning Publications,https://m.media-amazon.com/images/I/818wTWYXsbL._AC_UY436_FMwebp_QL65_.jpg,SE,C++,2019,en,SE110,1
9780321958327,The C++,Programming Language,Bjarne Stroustrup,Addison-Wesley,https://m.media-amazon.com/images/I/51KEqIsBa4L._AC_UY436_FMwebp_QL65_.jpg,SE,C++,2013,en,SE111,1
9780321992789,Programming ,Principles and Practice Using C++,Bjarne Stroustrup,Addison-Wesley,https://pictures.abebooks.com/isbn/9780321992789-uk.jpg,SE,C++,2018,en,SE112,1
9780321714114,C++ Primer,,"Stanley B.Lippman, Josée Lajoie, Barbara E.Moo",Addison-Wesley,https://m.media-amazon.com/images/I/41ArJlUM+2L._AC_UY436_FMwebp_QL65_.jpg,SE,C++,2013,en,SE113,1
9781491912058,Python Data Science Handbook,Essential tools for working with data,Jake VanderPlas,O'Reilly Media Inc,"https://images-na.ssl-images-amazon.com/images/I/51wwKopZaDL._SX379_BO1,204,203,200_.jpg",SE,"Python Data Science
",2017,en,SE114,1
9781492038740,Foundations for Architecting Data Solutions,Managing successful data projects,Ted Malaska & Jonathan Seidman,O'Reilly Media Inc,"https://images-na.ssl-images-amazon.com/images/I/51azTwvO1AL._SX379_BO1,204,203,200_.jpg",SE,Data,2018,en,SE115,1
9781491983874,Streaming Systems,"The what, where, when and how of large-scale data processing","Tyler Akidau, Slava Chernyak & Reuven Lax",O'Reilly Media Inc,"https://images-na.ssl-images-amazon.com/images/I/51IK1s4J-8L._SX379_BO1,204,203,200_.jpg",SE,Data Processing,2018,en,SE116,1
9781449373320,Designing Data-Intensive Applications,"The big ideas behind reliable, scalable and maintainable systems",Martin Kleppmann,O'Reilly Media Inc,"https://images-na.ssl-images-amazon.com/images/I/514xvNk9rTL._SX379_BO1,204,203,200_.jpg",SE,"Data-Intensive Applications
",2017,en,SE117,1
9781788835824,Big Data Architect's Handbook,A guide to building proficiency in tools and systems used by leading big data experts,Syed Muhammad Fahad Akhtar,Packt Publishing,https://images-na.ssl-images-amazon.com/images/I/51UTLUusRxL.jpg,SE,Big Data,2018,en,SE118,1
