ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9783000560224,The female Fonunders Book,Das Buch Fuer Unternehmerische Inspiration,"Val Racheeva, Maxi Knust",Knust & Racheeva GbR.,"https://images-na.ssl-images-amazon.com/images/I/51VFh0JgJmL._SX355_BO1,204,203,200_.jpg",PM,Entrepreneurship,2017,de,PM59,1
9783981871128,Transformational Products,,Matthias Schrader,Next Factory Ottensen,https://m.media-amazon.com/images/I/41zQ+H9+xGL._AC_UY436_FMwebp_QL65_.jpg,PM,Transformational Products,2017,en,PM60,7
9783906092263,Onlinemarketing-Praxis für Webshops,,Marco De Micheli,Praxium Verlag,https://m.media-amazon.com/images/I/41FEniV1eAL._AC_UY436_FMwebp_QL65_.jpg,PM,"Online Marketing, Webshops",2014,de,PM61,1
9783836219617,Top-Rankings bei Google und Co.,,Kim Weinand,Galileo Press,https://m.media-amazon.com/images/I/510X+-q6zPL._AC_UL640_FMwebp_QL65_.jpg,PM,"SEO, Ranking",2013,de,PM62,1
9780787960759,The Five Dysfunctions of a Team,A Leadership Fable,Patrick Lencioni,Jossey-Bass,https://m.media-amazon.com/images/I/51QArmq8raL._AC_UY436_FMwebp_QL65_.jpg,PM,Business/Managment,2002,en,PM63,1
9780670921607,The Lean Startup,How Constant Innovation Creates Radically Successful Businesses,Eric Ries,Penguin Business,https://m.media-amazon.com/images/I/510AO7UjVPL._AC_UY436_FMwebp_QL65_.jpg,PM,Business approach,2011,en,PM64,1
9780743260879,Competitive Advantage ,Creating and Sustaining Superior Performance,Michael E. Porter,Free Press,https://m.media-amazon.com/images/I/815DdUXa0fL._AC_UY436_FMwebp_QL65_.jpg,PM,Financial Strategy,2004,EN,PM65,1
9781603580557,Thinking in Systems,,Donella H. Meadows,Chelsea Green Publishing,https://m.media-amazon.com/images/I/61npQHfWgAL._AC_UY436_FMwebp_QL65_.jpg,PM,Systems,2008,EN,PM66,1
9780596007591,Producing Open Source Software,How to Run a Successful Free Software Project,Karl Fogel,O'Reilly Media Inc,https://m.media-amazon.com/images/I/41c8kwnJzKL._AC_UY436_FMwebp_QL65_.jpg,PM,Open Source Software,2006,EN,PM67,1
9783867745994,New Workspace Playbook,Das unverzichtbare Praxisbuch für neues Arbeiten in neuen Räumen,Dark hourse innovation,Murmann Publishers GmbH Hamburg,https://m.media-amazon.com/images/I/91xIxzlVVHL._AC_UY436_FMwebp_QL65_.jpg,PM,Workspace Strategien,2018,de,PM68,1
9783982108803,How to speak like a CEO,How successful leaders commuicate,"Rose Bickerton, Veronica Virginia Corsi",Eo Ipso Communications,"https://images-na.ssl-images-amazon.com/images/I/41217c5Mu%2BL._SX335_BO1,204,203,200_.jpg",PM,Communication,2019,en,PM69,1
9781781251546,Good Strategy Bad Strategy,The Difference and Why it Matters,Richard Rumelt,Profile Books,https://m.media-amazon.com/images/I/81+n12er4KL._AC_UY436_FMwebp_QL65_.jpg,PM,Business,2013,en,PM70,1
9781119551447,Testing Business Ideas,A Field Guide for Rapid Experimentation,"David J. Bland, Alex Osterwalder",Wiley,"https://images-na.ssl-images-amazon.com/images/I/51zfwck6M5L._SY392_BO1,204,203,200_.jpg",PM,entrepreneurship/Business,2020,en,PM71,1
9789063694784,Brand the Change,"The branding guide for social entrepreneurs, disruptors, not-for-profits and corporate troublemakers",Anne Miltenburg,B/SPUBLISHERS,"https://images-na.ssl-images-amazon.com/images/I/51lPd7YZAjL._SX418_BO1,204,203,200_.jpg",PM,Branding/Sustainable Business Development,2018,en,PM72,1
